COMPONENT_NAME,COMPONENT_TYPE
parent-springboot-commons-v1,commons
parent-springcloud-v1,commons
parent-quarkus-commons-v1,commons
invoice-v1,business
menu-v1,business
menu-v2,business
order-hub-v1,business
payment-v1,business
product-v1,business
table-placement-v1,business
api-gateway-v1,platform
auth-adapter-v1,platform
config-server-v1,platform
mock-service-v1,platform
keycloak-server,runtime
redis-server,runtime
zookeeper-server,runtime
kafka-server,runtime
mongo-db,database
mysql-db,database
postgres-db,database