APP_NAME,IMAGE,DEPENDENCIES,HOST_PORT,CONTAINER_PORT,VOLUMES
config-server-v1,miguelarmasabt/config-server:v1.0.1,null,8888,8888,null
api-gateway-v1,miguelarmasabt/api-gateway:v1.0.1,null,8010,8010,null
auth-adapter-v1,miguelarmasabt/auth-adapter:v1.0.1,null,8011,8011,null
menu-v1,miguelarmasabt/menu:v1.0.1,config-server-v1;mysql-db,8012,8012,null
table-placement-v1,miguelarmasabt/table-placement:v1.0.1,config-server-v1;mongo-db,8013,8013,null
invoice-v1,miguelarmasabt/invoice:v1.0.1,config-server-v1;postgres-db;kafka-server,8014,8014,null
rules-processor-v1,miguelarmasabt/rules-processor:v1.0.1,config-server-v1,8019,8019,null
payment-v1,miguelarmasabt/payment:v1.0.1,config-server-v1;mysql-db;kafka-server,8015,8015,null
menu-v2,miguelarmasabt/menu:v2.0.1,mysql-db,8016,8016,null
product-v1,miguelarmasabt/product:v1.0.1,mysql-db,8017,8017,null
order-hub-v1,miguelarmasabt/order-hub:v1.0.1,config-server-v1;redis-server,8018,8018,null
mock-service-v1,miguelarmasabt/mock-service:v1.0.1,null,8020,8020,null
keycloak-server,jboss/keycloak:16.0.0,null,8091,8080,null
redis-server,redis:latest,null,6379,6379,null
kafka-server,confluentinc/cp-kafka:7.3.2,zookeeper-server,9092,9092,null
zookeeper-server,confluentinc/cp-zookeeper:7.3.2,null,2181,2181,null
mysql-db,mysql:latest,null,3306,3306,./../environment/mysql-db/init:/docker-entrypoint-initdb.d;./../environment/mysql-db/data:/data/db
postgres-db,postgres:latest,null,5432,5432,./../environment/postgres-db/init:/docker-entrypoint-initdb.d;./../environment/postgres-db/data:/data/db
mongo-db,mongo:latest,null,27017,27017,./../environment/mongo-db/init:/docker-entrypoint-initdb.d;./../environment/mongo-db/data:/data/db