APP_NAME,TYPE
parent-springcloud-v1,COMMONS
parent-springboot-commons-v1,COMMONS
parent-quarkus-commons-v1,COMMONS
commons-springboot-base-v1,COMMONS
commons-springboot-v1,COMMONS
commons-webflux-v1,COMMONS
commons-rxjava-v1,COMMONS
commons-quarkus-v1,COMMONS
mock-service-v1,INFRASTRUCTURE
config-server-v1,INFRASTRUCTURE
api-gateway-v1,INFRASTRUCTURE
auth-adapter-v1,INFRASTRUCTURE
mock-service-v1,INFRASTRUCTURE
order-hub-v1,BUSINESS
menu-v1,BUSINESS
table-placement-v1,BUSINESS
invoice-v1,BUSINESS
rules-processor-v1,BUSINESS
payment-v1,BUSINESS
menu-v2,BUSINESS